Dataset,min_samples,metric,algorithm,max_epsilon,Dataset scaling,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Adjusted Rand Index,Purity,Fowlkes-Mallows Index,Normalized Mutual Info,Number of Clusters
cmc,45,euclidean,auto,7.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,euclidean,brute,7.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,manhattan,auto,7.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,manhattan,brute,7.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,cosine,auto,7.0,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
cmc,45,cosine,brute,7.0,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
cmc,45,euclidean,auto,9.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,euclidean,brute,9.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,manhattan,auto,9.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,manhattan,brute,9.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,cosine,auto,9.0,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
cmc,45,cosine,brute,9.0,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
cmc,52,euclidean,auto,1.5,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,euclidean,brute,1.5,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,manhattan,auto,1.5,MinMax,0.5169422614256948,0.714733058187255,288.8455459929721,0.0007466791496968655,0.39714285714285713,0.3197663294911289,0.00820645925579834,4
cmc,52,manhattan,brute,1.5,MinMax,0.5169422614256948,0.714733058187255,288.8455459929721,0.0007466791496968655,0.39714285714285713,0.3197663294911289,0.00820645925579834,4
cmc,52,cosine,auto,1.5,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,52,cosine,brute,1.5,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,52,euclidean,auto,3.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,euclidean,brute,3.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,manhattan,auto,3.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,manhattan,brute,3.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,cosine,auto,3.0,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,52,cosine,brute,3.0,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,52,euclidean,auto,5.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,euclidean,brute,5.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,manhattan,auto,5.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,manhattan,brute,5.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,cosine,auto,5.0,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,52,cosine,brute,5.0,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,52,euclidean,auto,7.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,euclidean,brute,7.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,manhattan,auto,7.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,manhattan,brute,7.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,cosine,auto,7.0,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,52,cosine,brute,7.0,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,52,euclidean,auto,9.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,euclidean,brute,9.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,manhattan,auto,9.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,manhattan,brute,9.0,MinMax,0.518282634918696,0.8439759609531114,284.3102019020792,-0.0012631043305324579,0.3959537572254335,0.30015040634100026,0.006098463299497937,4
cmc,52,cosine,auto,9.0,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,52,cosine,brute,9.0,MinMax,0.4768301108298926,1.019045415740923,259.0621982187419,-0.0014749032055972955,0.3945945945945946,0.29901867838589197,0.006548191371474779,4
cmc,55,euclidean,auto,1.5,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,euclidean,brute,1.5,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,manhattan,auto,1.5,MinMax,0.6608955693997164,0.6258179759046274,452.2232127138399,-0.004708301260148041,0.41232227488151657,0.4177740527550738,0.0028488894379736715,2
